source,model,mode,complete,test_exact,gold_exact,test_f1,gold_f1,test_total,gold_total,test_HasAns_exact,gold_HasAns_exact,test_HasAns_f1,gold_HasAns_f1,test_HasAns_total,gold_HasAns_total,test_NoAns_exact,gold_NoAns_exact,test_NoAns_f1,gold_NoAns_f1,test_NoAns_total,gold_NoAns_total,test_best_exact,gold_best_exact,test_best_f1,gold_best_f1,question_date_f1,question_time_f1,question_place_f1,question_objects_f1,question_value_f1
out_experiments/paper_replication,mrm8488__bert-base-spanish-wwm-cased-finetuned-spa-squad2-es,zsl,True,0.1487964989059081,0.345,0.5112761013378248,0.5700961070082385,457.0,200.0,0.1487964989059081,0.3090909090909091,0.5112761013378248,0.5819346751615013,457.0,165.0,0.0,0.5142857142857142,0.0,0.5142857142857142,0.0,35.0,0.16411378555798686,0.355,0.5615053661241948,0.5821206168121601,0.7732224010997373,0.5601007641368934,0.3769089786712674,0.265769945503843,0.5021072365601706
out_experiments/paper_replication,mrm8488__bert-base-spanish-wwm-cased-finetuned-spa-squad2-es,ft,True,0.5207877461706784,0.21,0.7998521778622253,0.5924639440907175,457.0,200.0,0.5207877461706784,0.2545454545454545,0.7998521778622253,0.7181381140493545,457.0,165.0,0.0,0.0,0.0,0.0,0.0,35.0,0.5207877461706784,0.305,0.7998521778622253,0.667274952048277,0.8855911958681565,0.8274699442748179,0.7460693039397348,0.7507382756425467,0.7400597670195538
