source,model,mode,complete,test_exact,gold_exact,test_f1,gold_f1,test_total,gold_total,test_HasAns_exact,gold_HasAns_exact,test_HasAns_f1,gold_HasAns_f1,test_HasAns_total,gold_HasAns_total,test_NoAns_exact,gold_NoAns_exact,test_NoAns_f1,gold_NoAns_f1,test_NoAns_total,gold_NoAns_total,test_best_exact,gold_best_exact,test_best_f1,gold_best_f1,question_date_f1,question_time_f1,question_place_f1,question_objects_f1,question_value_f1
out_experiments/option_b_abblation,MMG__bert-base-spanish-wwm-cased-finetuned-squad2-es,zsl,True,0.42348008385744235,0.37,0.6137204915308679,0.5818126116659399,8109.0,200.0,0.3057099545224861,0.3212121212121212,0.5655481667212073,0.5779546808071998,5937.0,165.0,0.7453959484346224,0.6,0.7453959484346224,0.6,2172.0,35.0,0.43137254901960786,0.38,0.6140406246663914,0.6050453087933738,0.7877539703527765,0.6429663777149335,0.3672137990250136,0.3871556178817644,0.7674993091488197
out_experiments/option_b_abblation,MMG__bert-base-spanish-wwm-cased-finetuned-squad2-es,ft,True,0.5756566777654458,0.41,0.7483817654026573,0.6627306358825588,8109.0,200.0,0.5012632642748863,0.37575757575757573,0.7371783283897841,0.6820977404637076,5937.0,165.0,0.7790055248618785,0.5714285714285714,0.7790055248618785,0.5714285714285714,2172.0,35.0,0.5773831545196695,0.425,0.7548103979465975,0.6865242866762097,0.9194967895426732,0.7427350103845337,0.5539353174382308,0.5756567255295253,0.8592920818922336
out_experiments/option_b_abblation,deepset__xlm-roberta-base-squad2,zsl,True,0.4520902700702923,0.33,0.6251580257578933,0.5093341102825623,8109.0,200.0,0.29779349839986524,0.2606060606060606,0.5341765927018287,0.4779807397364392,5937.0,165.0,0.8738489871086557,0.6571428571428571,0.8738489871086557,0.6571428571428571,2172.0,35.0,0.4536934270563571,0.345,0.6456715065929508,0.5647779293776971,0.8772132223202986,0.6225249572089164,0.31212029767121596,0.3132899165022943,0.834158813736449
out_experiments/option_b_abblation,deepset__xlm-roberta-base-squad2,ft,True,0.6124059686767789,0.435,0.7801408546396905,0.6799925441443332,8109.0,200.0,0.5597102913929594,0.4121212121212121,0.788809531796067,0.7090818716901008,5937.0,165.0,0.7564456721915286,0.5428571428571428,0.7564456721915286,0.5428571428571428,2172.0,35.0,0.6205450733752621,0.45,0.7826805705971579,0.7095261070383917,0.9344753567686723,0.7862124146052657,0.5788231579289633,0.623278210110515,0.897643185736632
out_experiments/option_b_abblation,mrm8488__bert-base-spanish-wwm-cased-finetuned-spa-squad2-es,zsl,True,0.41583425823159453,0.345,0.6215570635297035,0.5700961070082385,8109.0,200.0,0.32036382011116726,0.3090909090909091,0.601348530935214,0.5819346751615013,5937.0,165.0,0.6767955801104972,0.5142857142857142,0.6767955801104972,0.5142857142857142,2172.0,35.0,0.4347021827598964,0.355,0.6242892887930283,0.5821206168121601,0.8535686921593442,0.6417200571013422,0.34826333223078926,0.3641798313702289,0.7679222573584663
out_experiments/option_b_abblation,mrm8488__bert-base-spanish-wwm-cased-finetuned-spa-squad2-es,ft,True,0.5581452706868911,0.39,0.7271813762358116,0.6073540311995275,8109.0,200.0,0.46252315984503956,0.34545454545454546,0.6933996597433377,0.6089139772115484,5937.0,165.0,0.8195211786372008,0.6,0.8195211786372008,0.6,2172.0,35.0,0.5608583055863855,0.395,0.7495891710586307,0.6738124784000233,0.895801419949517,0.7339111001721185,0.5258420479097468,0.5575982632631545,0.8358371009955411
out_experiments/option_b_abblation,mrm8488__distill-bert-base-spanish-wwm-cased-finetuned-spa-squad2-es,zsl,True,0.3232211123443088,0.245,0.38438161732326925,0.3201294163352987,8109.0,200.0,0.10139801246420752,0.10303030303030303,0.18493355817321727,0.1940962622246045,5937.0,165.0,0.9295580110497238,0.9142857142857143,0.9295580110497238,0.9142857142857143,2172.0,35.0,0.3523245776297941,0.3,0.4970521703828851,0.505710419664331,0.3908931170818158,0.2222241913981704,0.27524907101358637,0.3229660287126845,0.6495072975383857
out_experiments/option_b_abblation,mrm8488__distill-bert-base-spanish-wwm-cased-finetuned-spa-squad2-es,ft,True,0.3552842520656061,0.24,0.38601417703357715,0.28364590066795947,8109.0,200.0,0.12497894559541856,0.10303030303030303,0.16695114730760946,0.15593442505207208,5937.0,165.0,0.9848066298342542,0.8857142857142857,0.9848066298342542,0.8857142857142857,2172.0,35.0,0.5488962880749784,0.375,0.7289020232243434,0.6538002467050614,0.19885685116201032,0.31397729473538616,0.28577110248073356,0.3362401725624761,0.7449383172958302
